TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
8384000	650.76	257	1413	19536.51	9.089837890625	6.963032968829029	59.967808	1.668966
8416000	746.54	257	1685	19590.3	9.393369140625	6.92398260802625	47.761326	1.3255398
8448000	675.49	257	1418	19644.29	9.315873046875	6.784290505001241	51.42719	1.5382947
8480000	629.7	256	1391	19698.35	9.31004296875	6.991497067867511	56.51188	1.5046501
8512000	712.11	257	1612	19753.03	9.21379296875	6.952631302697562	55.192596	1.6598892
8544000	702.46	257	1423	19807.01	9.40667578125	7.417741612175501	72.92452	1.7165786
8576000	620.04	241	1621	19860.74	8.82804296875	6.487302501810749	51.514763	1.6659708
8608000	666.93	257	1628	19914.84	9.450931640625	6.9495750769381575	57.78712	1.69152
8640000	679.89	257	1420	19968.5	9.061177734375	7.32644183761804	69.6016	1.39117
8672000	623.05	253	1595	20022.84	10.002685546875	8.063606271002447	81.215256	1.7776914
8704000	692.59	257	1413	20077.24	9.26772265625	7.067799449793408	69.67712	1.5164592
8736000	717.94	257	1403	20130.6	9.4514375	6.989409678667434	51.522575	1.7399883
8768000	660.81	256	1423	20184.82	10.290826171875	7.900108780896628	62.892097	1.7984469
8800000	656.06	256	1401	20238.67	9.2712177734375	6.818555794667959	50.392693	1.7246158
8832000	658.3	246	1416	20293.1	10.023189453125	8.3416921619657	66.73426	1.5617254
8864000	689.82	256	1423	20346.94	9.754173828125	7.912755475733469	72.94827	1.3818321
8896000	716.58	257	1421	20400.72	9.8833134765625	7.573875483776453	64.03932	1.744396
8928000	693.05	257	1403	20454.38	9.6858076171875	7.200652639691766	53.096916	1.6385133
8960000	740.54	257	1678	20508.56	9.930517578125	7.64990042827356	55.867947	1.4886923
8992000	707.85	240	1426	20563.69	9.7088583984375	7.964718097647901	115.164276	1.2717791
9024000	764.0	257	1430	20619.22	9.589576171875	7.584412469005097	76.33603	1.8964895
9056000	733.92	257	1432	20676.03	10.0508251953125	8.232417817688798	91.29083	1.9805917
9088000	690.92	257	1423	20730.78	9.8125947265625	7.323110891212832	52.84558	1.6566625
9120000	722.22	253	1422	20785.21	9.6858662109375	7.4169790430471085	64.049065	1.3562062
9152000	641.92	256	1413	20838.46	9.355927734375	7.300783080858518	57.690266	1.2161226
9184000	623.86	256	1396	20892.22	9.878140625	7.6108393098264795	62.839478	1.4602602
9216000	689.09	257	1768	20946.09	9.903869140625	7.29589460758583	55.302925	1.801594
9248000	676.97	256	1402	20999.82	9.8076171875	7.18620694890566	55.406315	1.3763338
9280000	694.47	256	1422	21053.27	9.9133662109375	8.189254582988612	87.47687	1.739774
9312000	699.52	240	1408	21106.99	9.98965234375	7.803218486624606	75.27038	1.7363324
9344000	714.62	257	1401	21161.85	9.335501953125	7.203727333818237	52.86058	1.3562253
9376000	669.91	240	1397	21215.76	8.9810556640625	7.066998567284417	53.384644	1.5483052
9408000	643.31	257	1398	21269.62	9.116947265625	7.063859658943544	60.585896	1.8019917
9440000	633.71	257	1255	21323.34	9.8095654296875	7.685149539046068	64.46225	1.6415067
9472000	639.55	246	1424	21376.51	9.43078515625	7.250370141413471	62.91496	1.312154
9504000	649.73	240	1404	21429.46	9.666845703125	7.785719599850742	62.884125	1.7267275
9536000	736.52	257	1621	21481.56	9.902064453125	7.295494649953491	62.89044	1.7025356
9568000	660.18	256	1616	21534.41	9.898056640625	7.234536850241348	47.089554	1.7204745
9600000	740.33	240	1418	21588.79	9.89604296875	7.401404533093702	66.84585	1.4642651
9632000	671.41	256	1424	21643.18	10.081775390625	7.494251442772653	72.35737	1.6868811
9664000	726.97	240	1426	21696.82	9.869326171875	7.746395583188996	59.140907	1.5312148
9696000	673.17	256	1411	21750.72	9.45491015625	7.142636888345228	57.87889	1.2925526
9728000	714.67	256	1419	21804.31	9.200380859375	6.831872398453443	73.29804	1.7094069
9760000	711.46	240	1417	21858.54	9.7153359375	7.478003942814553	93.214355	1.5273569
9792000	745.73	257	1426	21911.73	10.001791015625	7.720322461286834	85.61522	1.5842292
9824000	748.11	256	1429	21965.07	9.483966796875	7.970650263623415	88.92665	1.6085807
9856000	677.01	257	1393	22019.39	9.59321484375	8.08933349579865	96.2684	1.2532582
9888000	669.6	257	1491	22072.73	9.868771484375	8.285258935301902	71.97354	1.7715431
9920000	690.47	257	1492	22126.11	10.02012890625	8.288161266981959	91.9889	1.3836322
9952000	653.38	257	1392	22180.43	9.860376953125	8.692732686704451	106.17458	1.4852614
