TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
8928000	875.83	218	2988	38731.63	68.0492578125	2.7229314109521745	77.49756	59.958378	18.380833984375	15.780740833370276	122.89364	3.0827467
8944000	834.7	218	3007	38800.7	67.223015625	2.520471941639849	75.579506	57.98871	17.4278125	15.54065635679523	122.23434	2.1638196
8960000	868.21	223	3008	38871.15	66.8436328125	2.432587597985939	74.958916	56.613678	17.58284765625	14.776014136092318	121.90424	1.856393
8976000	834.04	217	3007	38939.39	67.2200625	2.573157904513926	74.99462	59.1966	16.057958984375	13.294203389071493	109.7591	1.9669874
8992000	862.49	217	1888	39009.22	68.054890625	2.56000631331619	75.95326	58.666634	17.21182421875	15.563312227800354	136.92685	2.1516995
9008000	932.74	223	3000	39079.63	67.79575	2.5706646795199193	76.21629	58.824463	16.85709375	14.70006164953059	107.617065	2.815262
9024000	872.8	215	3000	39145.19	67.4840546875	2.5088586213717283	75.25282	60.682255	15.8307861328125	14.427970881243143	136.11882	2.1926577
9040000	843.88	218	3008	39212.21	66.606171875	2.428128418594762	73.66112	58.854355	16.90512890625	13.836829252036031	97.8064	2.6582556
9056000	752.36	218	1889	39282.68	66.799546875	2.3632028137810135	75.01719	59.173683	16.8515625	14.505315835927187	117.27735	2.6291852
9072000	745.48	217	1775	39352.79	65.887140625	2.4030290943151313	72.64128	58.051712	15.339537109375	13.141015229045282	91.162384	2.5305622
9088000	782.93	217	1775	39422.9	65.634515625	2.270196035381636	73.96331	57.121143	17.14909765625	14.693445073399227	108.05092	2.177987
9104000	865.76	218	2299	39490.56	64.1264296875	2.2117661874548924	70.948746	55.80874	15.11847265625	13.226392294386251	99.77029	2.009261
9120000	824.24	223	2298	39558.28	62.83300390625	2.1519711848602316	68.51254	55.249855	13.8552236328125	11.90438600894645	91.95159	1.478131
9136000	903.54	223	1891	39625.55	62.971609375	2.2132158093484695	69.88369	55.564774	14.698509765625	12.196037394375272	114.14453	2.2712953
9152000	901.98	223	1869	39695.92	63.2506171875	2.154560706022808	69.72755	56.21686	15.7898203125	13.596590795122136	106.48165	2.1909523
9168000	793.8	215	1885	39765.89	64.70615625	2.2775264988853587	71.6888	57.154182	15.31137109375	14.443464136072066	138.09286	1.9601964
9184000	831.3	215	1664	39832.31	64.4935	2.2199353127892603	71.89467	56.504097	15.405189453125	13.469978192261486	118.09538	2.0521462
9200000	875.55	218	2327	39897.32	63.56313671875	2.190984724387644	70.77901	56.210903	14.566740234375	12.393380289493258	95.789314	2.1885462
9216000	801.61	223	2331	39966.99	63.417359375	2.259590130663911	69.95354	55.35871	14.39312109375	12.500083124723611	101.95505	2.149514
9232000	840.69	223	2328	40032.64	63.9286875	2.216643366105608	70.85453	56.999153	14.4294306640625	12.394252700344625	113.65402	2.025611
9248000	754.65	218	2331	40100.84	64.38529296875	2.3045222398376306	70.89692	55.144638	14.53226171875	12.4634239878133	103.80167	1.5504158
9264000	832.25	223	2331	40168.93	63.47019140625	2.187491294625535	69.14818	55.301632	14.7790439453125	11.857503557874228	85.882385	2.0134108
9280000	835.44	218	2586	40237.09	62.51160546875	2.1006862717931014	69.14995	53.084724	13.880025390625	11.633100672219769	87.70152	2.0680947
9296000	851.85	217	2333	40305.65	62.01771875	2.175666990940652	68.100204	53.80282	13.7719912109375	12.246440809476033	97.36592	1.4775957
9312000	804.12	218	2330	40373.69	63.2928984375	2.3159773264353216	70.434105	55.206272	15.426384765625	12.736795858849273	119.395035	1.8450469
9328000	754.01	215	1871	40439.58	66.501765625	2.7136295171319906	76.09404	58.641212	17.0554296875	14.568347538413546	128.09756	2.4756742
9344000	717.25	217	2587	40506.53	68.0060625	2.51814440998352	74.94364	59.976204	16.39372265625	14.315853318960766	111.7352	1.5223914
9360000	886.9	223	1890	40574.18	67.86521875	2.50881979380993	74.41419	60.204254	15.18065625	12.231463015518626	82.34443	2.0637193
9376000	748.65	217	1774	40640.08	66.381890625	2.597172252842984	73.447266	57.904514	16.110232421875	13.167945217458948	90.69801	1.8083451
